DATE,CORESTICKM159SFRBATL
1967-12-01,3.383497007
1968-01-01,3.659987292
1968-02-01,3.682012499
1968-03-01,4.151667589
1968-04-01,4.165427174
1968-05-01,4.097704474
1968-06-01,4.557597098
1968-07-01,4.766361188
1968-08-01,4.960194431
1968-09-01,4.961849181
1968-10-01,5.198351909
1968-11-01,5.414944837
1968-12-01,5.72486893
1969-01-01,5.765763045
1969-02-01,5.769158001
1969-03-01,6.143376532
1969-04-01,6.524447618
1969-05-01,6.799346963
1969-06-01,6.392103407
1969-07-01,6.404961413
1969-08-01,6.430385766
1969-09-01,6.850795793
1969-10-01,6.574721234
1969-11-01,6.451706907
1969-12-01,6.425116862
1970-01-01,6.628279061
1970-02-01,7.09144749
1970-03-01,7.030543696
1970-04-01,6.855423125
1970-05-01,6.98585698
1970-06-01,7.191308106
1970-07-01,7.04714037
1970-08-01,7.154475413
1970-09-01,7.121184091
1970-10-01,7.097174731
1970-11-01,7.376794582
1970-12-01,7.381000774
1971-01-01,7.042661405
1971-02-01,6.360389898
1971-03-01,5.533559236
1971-04-01,5.338291383
1971-05-01,5.094236396
1971-06-01,5.273268229
1971-07-01,5.199542864
1971-08-01,4.947926701
1971-09-01,4.707522595
1971-10-01,4.41123702
1971-11-01,3.978662385
1971-12-01,3.708040621
1972-01-01,3.755946258
1972-02-01,3.864643731
1972-03-01,4.078580445
1972-04-01,3.991015808
1972-05-01,3.880713129
1972-06-01,3.504240606
1972-07-01,3.481835749
1972-08-01,3.380601319
1972-09-01,3.137835466
1972-10-01,3.344140047
1972-11-01,3.281095844
1972-12-01,3.153985901
1973-01-01,2.847928102
1973-02-01,2.886258664
1973-03-01,2.934248028
1973-04-01,3.036614659
1973-05-01,3.180735955
1973-06-01,3.104206448
1973-07-01,3.018552356
1973-08-01,3.329072164
1973-09-01,3.952644678
1973-10-01,4.775638756
1973-11-01,4.938670847
1973-12-01,5.319843098
1974-01-01,5.857506965
1974-02-01,6.303969131
1974-03-01,6.831393725
1974-04-01,7.120384207
1974-05-01,7.749650582
1974-06-01,8.640321526
1974-07-01,9.552860371
1974-08-01,10.130319088
1974-09-01,10.621603911
1974-10-01,10.591306867
1974-11-01,11.017162794
1974-12-01,11.527439415
1975-01-01,11.65667686
1975-02-01,11.816414421
1975-03-01,11.603717425
1975-04-01,11.729239119
1975-05-01,10.951529411
1975-06-01,10.45505733
1975-07-01,9.787927045
1975-08-01,8.938380195
1975-09-01,8.554354053
1975-10-01,8.142102792
1975-11-01,8.13591166
1975-12-01,7.727553082
1976-01-01,7.741363545
1976-02-01,7.425762409
1976-03-01,7.388426262
1976-04-01,6.899629973
1976-05-01,7.018298581
1976-06-01,6.922850698
1976-07-01,7.140992224
1976-08-01,7.405380061
1976-09-01,7.125381525
1976-10-01,6.910786682
1976-11-01,6.633941823
1976-12-01,6.218614511
1977-01-01,6.062302309
1977-02-01,6.063399587
1977-03-01,6.112229251
1977-04-01,6.591159521
1977-05-01,6.751544987
1977-06-01,6.930956833
1977-07-01,6.892219332
1977-08-01,6.843199666
1977-09-01,6.883555545
1977-10-01,6.96244877
1977-11-01,7.010588577
1977-12-01,7.387469073
1978-01-01,7.395951567
1978-02-01,7.365140892
1978-03-01,7.457868288
1978-04-01,7.437211324
1978-05-01,7.667650906
1978-06-01,7.705467144
1978-07-01,7.939210957
1978-08-01,8.204046896
1978-09-01,8.605577994
1978-10-01,9.062421667
1978-11-01,9.237557806
1978-12-01,9.071115875
1979-01-01,9.083750922
1979-02-01,9.586034706
1979-03-01,9.689852424
1979-04-01,9.934098639
1979-05-01,10.09794116
1979-06-01,10.284819787
1979-07-01,10.521237318
1979-08-01,10.954395743
1979-09-01,11.002540622
1979-10-01,11.279514365
1979-11-01,11.951758189
1979-12-01,12.761858458
1980-01-01,13.499249243
1980-02-01,13.627778119
1980-03-01,14.361385885
1980-04-01,14.786779517
1980-05-01,15.147255922
1980-06-01,15.810582065
1980-07-01,14.178529783
1980-08-01,13.314194421
1980-09-01,13.136608244
1980-10-01,13.133051948
1980-11-01,12.91869716
1980-12-01,12.732242952
1981-01-01,12.062863603
1981-02-01,11.274926046
1981-03-01,10.363727852
1981-04-01,9.752589153
1981-05-01,9.645887355
1981-06-01,9.250210999
1981-07-01,11.274384726
1981-08-01,11.853018154
1981-09-01,12.262533118
1981-10-01,11.298313544
1981-11-01,10.554645194
1981-12-01,9.884984782
1982-01-01,9.499196473
1982-02-01,9.56769049
1982-03-01,8.920648287
1982-04-01,9.112202163
1982-05-01,9.08479885
1982-06-01,8.909836827
1982-07-01,7.912560428
1982-08-01,7.351467333
1982-09-01,6.003409335
1982-10-01,6.000904404
1982-11-01,5.327823771
1982-12-01,4.518985485
1983-01-01,4.695598354
1983-02-01,4.62783567
1983-03-01,4.855813143
1983-04-01,4.456933531
1983-05-01,3.549623729
1983-06-01,2.843739681
1983-07-01,2.630755198
1983-08-01,2.553400975
1983-09-01,2.944004571
1983-10-01,3.09331236
1983-11-01,3.751793567
1983-12-01,4.465480085
1984-01-01,4.485762548
1984-02-01,4.524563869
1984-03-01,4.65415841
1984-04-01,4.646319003
1984-05-01,4.708074066
1984-06-01,4.787485493
1984-07-01,4.897092721
1984-08-01,5.032939607
1984-09-01,5.140612141
1984-10-01,5.103857709
1984-11-01,4.968986894
1984-12-01,5.052939222
1985-01-01,4.726710471
1985-02-01,4.871701461
1985-03-01,4.962072036
1985-04-01,4.754134291
1985-05-01,5.037120921
1985-06-01,5.05654234
1985-07-01,4.948295318
1985-08-01,4.94547442
1985-09-01,4.7871651
1985-10-01,4.891950804
1985-11-01,5.149995169
1985-12-01,5.030732007
1986-01-01,5.296961132
1986-02-01,5.124947576
1986-03-01,5.229854261
1986-04-01,5.370857251
1986-05-01,5.040741681
1986-06-01,5.042080888
1986-07-01,4.975291061
1986-08-01,4.838260997
1986-09-01,4.962973389
1986-10-01,4.897657302
1986-11-01,4.591247998
1986-12-01,4.64519092
1987-01-01,4.481798225
1987-02-01,4.44093159
1987-03-01,4.263792189
1987-04-01,4.358079784
1987-05-01,4.416917659
1987-06-01,4.175391862
1987-07-01,4.166490008
1987-08-01,4.280898407
1987-09-01,4.291035748
1987-10-01,4.343067431
1987-11-01,4.314664296
1987-12-01,4.302583149
1988-01-01,4.383640423
1988-02-01,4.386553409
